gene_symbol,pmid,title,journal,pubdate,query_terms,hit_type,bridge_candidate,evidence_role
Amd1,39571033,Platelet factor 4-induced T(H)1-T(reg) polarization suppresses antitumor immunity.,"Science (New York, N.Y.)",2024 Nov 22,megakaryocyte;megakaryocytes;megakaryocyte-derived;platelet-derived;platelet microparticle;platelet extracellular vesicle;megakaryocyte extracellular vesicle;platelet factor 4;CD4 T cell;T helper;T cell differentiation;T cell activation,bridge_mk_to_candidate_state,generic CD4/T helper,MK/platelet/MK-EV -> candidate state
Amd1,40044852,Aspirin prevents metastasis by limiting platelet TXA(2) suppression of T cell immunity.,Nature,2025 Apr,megakaryocyte;megakaryocytes;megakaryocyte-derived;platelet-derived;platelet microparticle;platelet extracellular vesicle;megakaryocyte extracellular vesicle;platelet factor 4;CD4 T cell;T helper;T cell differentiation;T cell activation,bridge_mk_to_candidate_state,generic CD4/T helper,MK/platelet/MK-EV -> candidate state
Amd1,39515406,Autoimmune effector mechanisms associated with a defective immunosuppressive axis in immune thrombocytopenia (ITP).,Autoimmunity reviews,2024 Dec,megakaryocyte;megakaryocytes;megakaryocyte-derived;platelet-derived;platelet microparticle;platelet extracellular vesicle;megakaryocyte extracellular vesicle;platelet factor 4;CD4 T cell;T helper;T cell differentiation;T cell activation,bridge_mk_to_candidate_state,generic CD4/T helper,MK/platelet/MK-EV -> candidate state
Amd1,36382136,Regenerative medicine strategies for hair growth and regeneration: A narrative review of literature.,Regenerative therapy,2022 Dec,megakaryocyte;megakaryocytes;megakaryocyte-derived;platelet-derived;platelet microparticle;platelet extracellular vesicle;megakaryocyte extracellular vesicle;platelet factor 4;CD4 T cell;T helper;T cell differentiation;T cell activation,bridge_mk_to_candidate_state,generic CD4/T helper,MK/platelet/MK-EV -> candidate state
Amd1,32673538,Meta-Analysis of Leukocyte Diversity in Atherosclerotic Mouse Aortas.,Circulation research,2020 Jul 17,megakaryocyte;megakaryocytes;megakaryocyte-derived;platelet-derived;platelet microparticle;platelet extracellular vesicle;megakaryocyte extracellular vesicle;platelet factor 4;CD4 T cell;T helper;T cell differentiation;T cell activation,bridge_mk_to_candidate_state,generic CD4/T helper,MK/platelet/MK-EV -> candidate state
Amd1,32023446,Methionine Metabolism Shapes T Helper Cell Responses through Regulation of Epigenetic Reprogramming.,Cell metabolism,2020 Feb 4,Amd1;methionine;S-adenosylmethionine;methionine salvage;polyamine;spermidine;spermine;arginine;ornithine;CD4 T cell;T helper;T cell differentiation;T cell activation,bridge_metabolic_to_candidate_state,generic CD4/T helper,metabolite/enzyme/product/pathway -> candidate state
Amd1,32407834,Regulating T-cell differentiation through the polyamine spermidine.,The Journal of allergy and clinical immunology,2021 Jan,Amd1;methionine;S-adenosylmethionine;methionine salvage;polyamine;spermidine;spermine;arginine;ornithine;CD4 T cell;T helper;T cell differentiation;T cell activation,bridge_metabolic_to_candidate_state,generic CD4/T helper,metabolite/enzyme/product/pathway -> candidate state
Amd1,36302005,Spermidine activates mitochondrial trifunctional protein and improves antitumor immunity in mice.,"Science (New York, N.Y.)",2022 Oct 28,Amd1;methionine;S-adenosylmethionine;methionine salvage;polyamine;spermidine;spermine;arginine;ornithine;CD4 T cell;T helper;T cell differentiation;T cell activation,bridge_metabolic_to_candidate_state,generic CD4/T helper,metabolite/enzyme/product/pathway -> candidate state
Amd1,39870395,Fasting-mimicking diet-enriched Bifidobacterium pseudolongum suppresses colorectal cancer by inducing memory CD8(+) T cells.,Gut,2025 Apr 7,Amd1;methionine;S-adenosylmethionine;methionine salvage;polyamine;spermidine;spermine;arginine;ornithine;CD4 T cell;T helper;T cell differentiation;T cell activation,bridge_metabolic_to_candidate_state,generic CD4/T helper,metabolite/enzyme/product/pathway -> candidate state
Amd1,34216539,Metabolic modeling of single Th17 cells reveals regulators of autoimmunity.,Cell,2021 Aug 5,Amd1;methionine;S-adenosylmethionine;methionine salvage;polyamine;spermidine;spermine;arginine;ornithine;CD4 T cell;T helper;T cell differentiation;T cell activation,bridge_metabolic_to_candidate_state,generic CD4/T helper,metabolite/enzyme/product/pathway -> candidate state
Amd1,40395196,Activin A-Activated ALK4 Induces Pathogenic Th17-Involved Endothelial-Mesenchymal Transition in Systemic Lupus Erythematosus-Associated Pulmonary Arterial Hypertension.,"Arthritis & rheumatology (Hoboken, N.J.)",2025 Nov,CD4 T cell;T helper;T cell differentiation;T cell activation;pulmonary hypertension;pulmonary arterial hypertension;pulmonary vascular remodeling;pulmonary vascular remodelling;pulmonary artery remodeling,bridge_candidate_to_vascular,generic CD4/T helper,candidate state/mediator -> PH/remodeling
Amd1,38485150,"B-cells in pulmonary arterial hypertension: friend, foe or bystander?",The European respiratory journal,2024 Apr,CD4 T cell;T helper;T cell differentiation;T cell activation;pulmonary hypertension;pulmonary arterial hypertension;pulmonary vascular remodeling;pulmonary vascular remodelling;pulmonary artery remodeling,bridge_candidate_to_vascular,generic CD4/T helper,candidate state/mediator -> PH/remodeling
Amd1,38853755,PD-1/PD-L1 Provides Protective Role in Hypoxia-Induced Pulmonary Vascular Remodeling.,"Hypertension (Dallas, Tex. : 1979)",2024 Aug,CD4 T cell;T helper;T cell differentiation;T cell activation;pulmonary hypertension;pulmonary arterial hypertension;pulmonary vascular remodeling;pulmonary vascular remodelling;pulmonary artery remodeling,bridge_candidate_to_vascular,generic CD4/T helper,candidate state/mediator -> PH/remodeling
Amd1,33996408,Biological drug and drug delivery-mediated immunotherapy.,Acta pharmaceutica Sinica. B,2021 Apr,CD4 T cell;T helper;T cell differentiation;T cell activation;pulmonary hypertension;pulmonary arterial hypertension;pulmonary vascular remodeling;pulmonary vascular remodelling;pulmonary artery remodeling,bridge_candidate_to_vascular,generic CD4/T helper,candidate state/mediator -> PH/remodeling
Amd1,26125103,Preclinical lupus.,Current opinion in rheumatology,2015 Sep,CD4 T cell;T helper;T cell differentiation;T cell activation;pulmonary hypertension;pulmonary arterial hypertension;pulmonary vascular remodeling;pulmonary vascular remodelling;pulmonary artery remodeling,bridge_candidate_to_vascular,generic CD4/T helper,candidate state/mediator -> PH/remodeling
Amd1,39571033,Platelet factor 4-induced T(H)1-T(reg) polarization suppresses antitumor immunity.,"Science (New York, N.Y.)",2024 Nov 22,megakaryocyte;megakaryocytes;megakaryocyte-derived;platelet-derived;platelet microparticle;platelet extracellular vesicle;megakaryocyte extracellular vesicle;platelet factor 4;Th1;T helper 1;IFN-gamma;IFNG;TBX21,bridge_mk_to_candidate_state,Th1/IFN-gamma,MK/platelet/MK-EV -> candidate state
Amd1,39515406,Autoimmune effector mechanisms associated with a defective immunosuppressive axis in immune thrombocytopenia (ITP).,Autoimmunity reviews,2024 Dec,megakaryocyte;megakaryocytes;megakaryocyte-derived;platelet-derived;platelet microparticle;platelet extracellular vesicle;megakaryocyte extracellular vesicle;platelet factor 4;Th1;T helper 1;IFN-gamma;IFNG;TBX21,bridge_mk_to_candidate_state,Th1/IFN-gamma,MK/platelet/MK-EV -> candidate state
Amd1,37670018,Retinal inflammation in murine models of type 1 and type 2 diabetes with diabetic retinopathy.,Diabetologia,2023 Nov,megakaryocyte;megakaryocytes;megakaryocyte-derived;platelet-derived;platelet microparticle;platelet extracellular vesicle;megakaryocyte extracellular vesicle;platelet factor 4;Th1;T helper 1;IFN-gamma;IFNG;TBX21,bridge_mk_to_candidate_state,Th1/IFN-gamma,MK/platelet/MK-EV -> candidate state
Amd1,38054001,Exploring causal correlations between inflammatory cytokines and ankylosing spondylitis: a bidirectional mendelian-randomization study.,Frontiers in immunology,2023,megakaryocyte;megakaryocytes;megakaryocyte-derived;platelet-derived;platelet microparticle;platelet extracellular vesicle;megakaryocyte extracellular vesicle;platelet factor 4;Th1;T helper 1;IFN-gamma;IFNG;TBX21,bridge_mk_to_candidate_state,Th1/IFN-gamma,MK/platelet/MK-EV -> candidate state
Amd1,32673538,Meta-Analysis of Leukocyte Diversity in Atherosclerotic Mouse Aortas.,Circulation research,2020 Jul 17,megakaryocyte;megakaryocytes;megakaryocyte-derived;platelet-derived;platelet microparticle;platelet extracellular vesicle;megakaryocyte extracellular vesicle;platelet factor 4;Th1;T helper 1;IFN-gamma;IFNG;TBX21,bridge_mk_to_candidate_state,Th1/IFN-gamma,MK/platelet/MK-EV -> candidate state
Amd1,39536754,Probiotics and their metabolite spermidine enhance IFN-γ(+)CD4(+) T cell immunity to inhibit hepatitis B virus.,Cell reports. Medicine,2024 Nov 19,Amd1;methionine;S-adenosylmethionine;methionine salvage;polyamine;spermidine;spermine;arginine;ornithine;Th1;T helper 1;IFN-gamma;IFNG;TBX21,bridge_metabolic_to_candidate_state,Th1/IFN-gamma,metabolite/enzyme/product/pathway -> candidate state
Amd1,10843666,M-1/M-2 macrophages and the Th1/Th2 paradigm.,"Journal of immunology (Baltimore, Md. : 1950)",2000 Jun 15,Amd1;methionine;S-adenosylmethionine;methionine salvage;polyamine;spermidine;spermine;arginine;ornithine;Th1;T helper 1;IFN-gamma;IFNG;TBX21,bridge_metabolic_to_candidate_state,Th1/IFN-gamma,metabolite/enzyme/product/pathway -> candidate state
Amd1,40156046,Crosstalk between metabolism and epigenetics during macrophage polarization.,Epigenetics & chromatin,2025 Mar 29,Amd1;methionine;S-adenosylmethionine;methionine salvage;polyamine;spermidine;spermine;arginine;ornithine;Th1;T helper 1;IFN-gamma;IFNG;TBX21,bridge_metabolic_to_candidate_state,Th1/IFN-gamma,metabolite/enzyme/product/pathway -> candidate state
Amd1,31399282,Slc6a8-Mediated Creatine Uptake and Accumulation Reprogram Macrophage Polarization via Regulating Cytokine Responses.,Immunity,2019 Aug 20,Amd1;methionine;S-adenosylmethionine;methionine salvage;polyamine;spermidine;spermine;arginine;ornithine;Th1;T helper 1;IFN-gamma;IFNG;TBX21,bridge_metabolic_to_candidate_state,Th1/IFN-gamma,metabolite/enzyme/product/pathway -> candidate state
Amd1,29893515,"CXCL9, CXCL10, CXCL11, and their receptor (CXCR3) in neuroinflammation and neurodegeneration.",Advances in clinical and experimental medicine : official organ Wroclaw Medical University,2018 Jun,Amd1;methionine;S-adenosylmethionine;methionine salvage;polyamine;spermidine;spermine;arginine;ornithine;Th1;T helper 1;IFN-gamma;IFNG;TBX21,bridge_metabolic_to_candidate_state,Th1/IFN-gamma,metabolite/enzyme/product/pathway -> candidate state
Amd1,40680331,Multi-omics analyses reveal that hesperidin ameliorates high-altitude pulmonary hypertension by restoring gut-lung axis homeostasis.,Phytomedicine : international journal of phytotherapy and phytopharmacology,2025 Sep,Th1;T helper 1;IFN-gamma;IFNG;TBX21;pulmonary hypertension;pulmonary arterial hypertension;pulmonary vascular remodeling;pulmonary vascular remodelling;pulmonary artery remodeling,bridge_candidate_to_vascular,Th1/IFN-gamma,candidate state/mediator -> PH/remodeling
Amd1,38552313,Systemic sclerosis-associated pulmonary arterial hypertension is characterized by a distinct peripheral T helper cell profile.,"Rheumatology (Oxford, England)",2024 Sep 1,Th1;T helper 1;IFN-gamma;IFNG;TBX21;pulmonary hypertension;pulmonary arterial hypertension;pulmonary vascular remodeling;pulmonary vascular remodelling;pulmonary artery remodeling,bridge_candidate_to_vascular,Th1/IFN-gamma,candidate state/mediator -> PH/remodeling
Amd1,37449198,Identification of ACKR4 as an immune checkpoint in pulmonary arterial hypertension.,Frontiers in immunology,2023,Th1;T helper 1;IFN-gamma;IFNG;TBX21;pulmonary hypertension;pulmonary arterial hypertension;pulmonary vascular remodeling;pulmonary vascular remodelling;pulmonary artery remodeling,bridge_candidate_to_vascular,Th1/IFN-gamma,candidate state/mediator -> PH/remodeling
Amd1,37712364,Pulmonary fibrosis in sarcoidosis.,"Sarcoidosis, vasculitis, and diffuse lung diseases : official journal of WASOG",2023 Sep 13,Th1;T helper 1;IFN-gamma;IFNG;TBX21;pulmonary hypertension;pulmonary arterial hypertension;pulmonary vascular remodeling;pulmonary vascular remodelling;pulmonary artery remodeling,bridge_candidate_to_vascular,Th1/IFN-gamma,candidate state/mediator -> PH/remodeling
Amd1,24337385,IL-32 promotes angiogenesis.,"Journal of immunology (Baltimore, Md. : 1950)",2014 Jan 15,Th1;T helper 1;IFN-gamma;IFNG;TBX21;pulmonary hypertension;pulmonary arterial hypertension;pulmonary vascular remodeling;pulmonary vascular remodelling;pulmonary artery remodeling,bridge_candidate_to_vascular,Th1/IFN-gamma,candidate state/mediator -> PH/remodeling
Amd1,23759113,Platelet-rich plasma preparation for regenerative medicine: optimization and quantification of cytokines and growth factors.,Stem cell research & therapy,2013 Jun 7,megakaryocyte;megakaryocytes;megakaryocyte-derived;platelet-derived;platelet microparticle;platelet extracellular vesicle;megakaryocyte extracellular vesicle;platelet factor 4;Th2;T helper 2;IL-4;IL-13;GATA3,bridge_mk_to_candidate_state,Th2/IL-4,MK/platelet/MK-EV -> candidate state
Amd1,38054001,Exploring causal correlations between inflammatory cytokines and ankylosing spondylitis: a bidirectional mendelian-randomization study.,Frontiers in immunology,2023,megakaryocyte;megakaryocytes;megakaryocyte-derived;platelet-derived;platelet microparticle;platelet extracellular vesicle;megakaryocyte extracellular vesicle;platelet factor 4;Th2;T helper 2;IL-4;IL-13;GATA3,bridge_mk_to_candidate_state,Th2/IL-4,MK/platelet/MK-EV -> candidate state
Amd1,33135058,Cardiac fibrosis.,Cardiovascular research,2021 May 25,megakaryocyte;megakaryocytes;megakaryocyte-derived;platelet-derived;platelet microparticle;platelet extracellular vesicle;megakaryocyte extracellular vesicle;platelet factor 4;Th2;T helper 2;IL-4;IL-13;GATA3,bridge_mk_to_candidate_state,Th2/IL-4,MK/platelet/MK-EV -> candidate state
Amd1,34207510,Role of JAK/STAT in Interstitial Lung Diseases; Molecular and Cellular Mechanisms.,International journal of molecular sciences,2021 Jun 9,megakaryocyte;megakaryocytes;megakaryocyte-derived;platelet-derived;platelet microparticle;platelet extracellular vesicle;megakaryocyte extracellular vesicle;platelet factor 4;Th2;T helper 2;IL-4;IL-13;GATA3,bridge_mk_to_candidate_state,Th2/IL-4,MK/platelet/MK-EV -> candidate state
Amd1,32673538,Meta-Analysis of Leukocyte Diversity in Atherosclerotic Mouse Aortas.,Circulation research,2020 Jul 17,megakaryocyte;megakaryocytes;megakaryocyte-derived;platelet-derived;platelet microparticle;platelet extracellular vesicle;megakaryocyte extracellular vesicle;platelet factor 4;Th2;T helper 2;IL-4;IL-13;GATA3,bridge_mk_to_candidate_state,Th2/IL-4,MK/platelet/MK-EV -> candidate state
Amd1,34974065,A mitochondrial STAT3-methionine metabolism axis promotes ILC2-driven allergic lung inflammation.,The Journal of allergy and clinical immunology,2022 Jun,Amd1;methionine;S-adenosylmethionine;methionine salvage;polyamine;spermidine;spermine;arginine;ornithine;Th2;T helper 2;IL-4;IL-13;GATA3,bridge_metabolic_to_candidate_state,Th2/IL-4,metabolite/enzyme/product/pathway -> candidate state
Amd1,10843666,M-1/M-2 macrophages and the Th1/Th2 paradigm.,"Journal of immunology (Baltimore, Md. : 1950)",2000 Jun 15,Amd1;methionine;S-adenosylmethionine;methionine salvage;polyamine;spermidine;spermine;arginine;ornithine;Th2;T helper 2;IL-4;IL-13;GATA3,bridge_metabolic_to_candidate_state,Th2/IL-4,metabolite/enzyme/product/pathway -> candidate state
Amd1,40156046,Crosstalk between metabolism and epigenetics during macrophage polarization.,Epigenetics & chromatin,2025 Mar 29,Amd1;methionine;S-adenosylmethionine;methionine salvage;polyamine;spermidine;spermine;arginine;ornithine;Th2;T helper 2;IL-4;IL-13;GATA3,bridge_metabolic_to_candidate_state,Th2/IL-4,metabolite/enzyme/product/pathway -> candidate state
Amd1,36180780,Serine metabolism orchestrates macrophage polarization by regulating the IGF1-p38 axis.,Cellular & molecular immunology,2022 Nov,Amd1;methionine;S-adenosylmethionine;methionine salvage;polyamine;spermidine;spermine;arginine;ornithine;Th2;T helper 2;IL-4;IL-13;GATA3,bridge_metabolic_to_candidate_state,Th2/IL-4,metabolite/enzyme/product/pathway -> candidate state
Amd1,31399282,Slc6a8-Mediated Creatine Uptake and Accumulation Reprogram Macrophage Polarization via Regulating Cytokine Responses.,Immunity,2019 Aug 20,Amd1;methionine;S-adenosylmethionine;methionine salvage;polyamine;spermidine;spermine;arginine;ornithine;Th2;T helper 2;IL-4;IL-13;GATA3,bridge_metabolic_to_candidate_state,Th2/IL-4,metabolite/enzyme/product/pathway -> candidate state
Amd1,38552313,Systemic sclerosis-associated pulmonary arterial hypertension is characterized by a distinct peripheral T helper cell profile.,"Rheumatology (Oxford, England)",2024 Sep 1,Th2;T helper 2;IL-4;IL-13;GATA3;pulmonary hypertension;pulmonary arterial hypertension;pulmonary vascular remodeling;pulmonary vascular remodelling;pulmonary artery remodeling,bridge_candidate_to_vascular,Th2/IL-4,candidate state/mediator -> PH/remodeling
Amd1,38485150,"B-cells in pulmonary arterial hypertension: friend, foe or bystander?",The European respiratory journal,2024 Apr,Th2;T helper 2;IL-4;IL-13;GATA3;pulmonary hypertension;pulmonary arterial hypertension;pulmonary vascular remodeling;pulmonary vascular remodelling;pulmonary artery remodeling,bridge_candidate_to_vascular,Th2/IL-4,candidate state/mediator -> PH/remodeling
Amd1,39196237,Inhibition of immunoglobulin E attenuates pulmonary hypertension.,Nature cardiovascular research,2022 Jul,Th2;T helper 2;IL-4;IL-13;GATA3;pulmonary hypertension;pulmonary arterial hypertension;pulmonary vascular remodeling;pulmonary vascular remodelling;pulmonary artery remodeling,bridge_candidate_to_vascular,Th2/IL-4,candidate state/mediator -> PH/remodeling
Amd1,37712364,Pulmonary fibrosis in sarcoidosis.,"Sarcoidosis, vasculitis, and diffuse lung diseases : official journal of WASOG",2023 Sep 13,Th2;T helper 2;IL-4;IL-13;GATA3;pulmonary hypertension;pulmonary arterial hypertension;pulmonary vascular remodeling;pulmonary vascular remodelling;pulmonary artery remodeling,bridge_candidate_to_vascular,Th2/IL-4,candidate state/mediator -> PH/remodeling
Amd1,37035669,Pericytes: The lung-forgotten cell type.,Frontiers in physiology,2023,Th2;T helper 2;IL-4;IL-13;GATA3;pulmonary hypertension;pulmonary arterial hypertension;pulmonary vascular remodeling;pulmonary vascular remodelling;pulmonary artery remodeling,bridge_candidate_to_vascular,Th2/IL-4,candidate state/mediator -> PH/remodeling
Amd1,23759113,Platelet-rich plasma preparation for regenerative medicine: optimization and quantification of cytokines and growth factors.,Stem cell research & therapy,2013 Jun 7,megakaryocyte;megakaryocytes;megakaryocyte-derived;platelet-derived;platelet microparticle;platelet extracellular vesicle;megakaryocyte extracellular vesicle;platelet factor 4;Th17;T helper 17;IL-17;IL-17A;RORC;T cell differentiation,bridge_mk_to_candidate_state,Th17/IL-17,MK/platelet/MK-EV -> candidate state
Amd1,39693274,Interleukin 8-CXCR2-mediated neutrophil extracellular trap formation in biliary atresia associated with neutrophil extracellular trap-induced stellate cell activation.,"Hepatology (Baltimore, Md.)",2025 Sep 1,megakaryocyte;megakaryocytes;megakaryocyte-derived;platelet-derived;platelet microparticle;platelet extracellular vesicle;megakaryocyte extracellular vesicle;platelet factor 4;Th17;T helper 17;IL-17;IL-17A;RORC;T cell differentiation,bridge_mk_to_candidate_state,Th17/IL-17,MK/platelet/MK-EV -> candidate state
Amd1,39515406,Autoimmune effector mechanisms associated with a defective immunosuppressive axis in immune thrombocytopenia (ITP).,Autoimmunity reviews,2024 Dec,megakaryocyte;megakaryocytes;megakaryocyte-derived;platelet-derived;platelet microparticle;platelet extracellular vesicle;megakaryocyte extracellular vesicle;platelet factor 4;Th17;T helper 17;IL-17;IL-17A;RORC;T cell differentiation,bridge_mk_to_candidate_state,Th17/IL-17,MK/platelet/MK-EV -> candidate state
Amd1,37356133,Pulmonary fibrosis and type-17 immunity.,Respiratory investigation,2023 Sep,megakaryocyte;megakaryocytes;megakaryocyte-derived;platelet-derived;platelet microparticle;platelet extracellular vesicle;megakaryocyte extracellular vesicle;platelet factor 4;Th17;T helper 17;IL-17;IL-17A;RORC;T cell differentiation,bridge_mk_to_candidate_state,Th17/IL-17,MK/platelet/MK-EV -> candidate state
Amd1,38054001,Exploring causal correlations between inflammatory cytokines and ankylosing spondylitis: a bidirectional mendelian-randomization study.,Frontiers in immunology,2023,megakaryocyte;megakaryocytes;megakaryocyte-derived;platelet-derived;platelet microparticle;platelet extracellular vesicle;megakaryocyte extracellular vesicle;platelet factor 4;Th17;T helper 17;IL-17;IL-17A;RORC;T cell differentiation,bridge_mk_to_candidate_state,Th17/IL-17,MK/platelet/MK-EV -> candidate state
Amd1,32407834,Regulating T-cell differentiation through the polyamine spermidine.,The Journal of allergy and clinical immunology,2021 Jan,Amd1;methionine;S-adenosylmethionine;methionine salvage;polyamine;spermidine;spermine;arginine;ornithine;Th17;T helper 17;IL-17;IL-17A;RORC;T cell differentiation,bridge_metabolic_to_candidate_state,Th17/IL-17,metabolite/enzyme/product/pathway -> candidate state
Amd1,39978335,Synergistic role of gut-microbial L-ornithine in enhancing ustekinumab efficacy for Crohn's disease.,Cell metabolism,2025 May 6,Amd1;methionine;S-adenosylmethionine;methionine salvage;polyamine;spermidine;spermine;arginine;ornithine;Th17;T helper 17;IL-17;IL-17A;RORC;T cell differentiation,bridge_metabolic_to_candidate_state,Th17/IL-17,metabolite/enzyme/product/pathway -> candidate state
Amd1,32023446,Methionine Metabolism Shapes T Helper Cell Responses through Regulation of Epigenetic Reprogramming.,Cell metabolism,2020 Feb 4,Amd1;methionine;S-adenosylmethionine;methionine salvage;polyamine;spermidine;spermine;arginine;ornithine;Th17;T helper 17;IL-17;IL-17A;RORC;T cell differentiation,bridge_metabolic_to_candidate_state,Th17/IL-17,metabolite/enzyme/product/pathway -> candidate state
Amd1,34216539,Metabolic modeling of single Th17 cells reveals regulators of autoimmunity.,Cell,2021 Aug 5,Amd1;methionine;S-adenosylmethionine;methionine salvage;polyamine;spermidine;spermine;arginine;ornithine;Th17;T helper 17;IL-17;IL-17A;RORC;T cell differentiation,bridge_metabolic_to_candidate_state,Th17/IL-17,metabolite/enzyme/product/pathway -> candidate state
Amd1,39870395,Fasting-mimicking diet-enriched Bifidobacterium pseudolongum suppresses colorectal cancer by inducing memory CD8(+) T cells.,Gut,2025 Apr 7,Amd1;methionine;S-adenosylmethionine;methionine salvage;polyamine;spermidine;spermine;arginine;ornithine;Th17;T helper 17;IL-17;IL-17A;RORC;T cell differentiation,bridge_metabolic_to_candidate_state,Th17/IL-17,metabolite/enzyme/product/pathway -> candidate state
Amd1,40395196,Activin A-Activated ALK4 Induces Pathogenic Th17-Involved Endothelial-Mesenchymal Transition in Systemic Lupus Erythematosus-Associated Pulmonary Arterial Hypertension.,"Arthritis & rheumatology (Hoboken, N.J.)",2025 Nov,Th17;T helper 17;IL-17;IL-17A;RORC;T cell differentiation;pulmonary hypertension;pulmonary arterial hypertension;pulmonary vascular remodeling;pulmonary vascular remodelling;pulmonary artery remodeling,bridge_candidate_to_vascular,Th17/IL-17,candidate state/mediator -> PH/remodeling
Amd1,38552313,Systemic sclerosis-associated pulmonary arterial hypertension is characterized by a distinct peripheral T helper cell profile.,"Rheumatology (Oxford, England)",2024 Sep 1,Th17;T helper 17;IL-17;IL-17A;RORC;T cell differentiation;pulmonary hypertension;pulmonary arterial hypertension;pulmonary vascular remodeling;pulmonary vascular remodelling;pulmonary artery remodeling,bridge_candidate_to_vascular,Th17/IL-17,candidate state/mediator -> PH/remodeling
Amd1,38602915,IL-6/gp130 signaling in CD4(+) T cells drives the pathogenesis of pulmonary hypertension.,Proceedings of the National Academy of Sciences of the United States of America,2024 Apr 16,Th17;T helper 17;IL-17;IL-17A;RORC;T cell differentiation;pulmonary hypertension;pulmonary arterial hypertension;pulmonary vascular remodeling;pulmonary vascular remodelling;pulmonary artery remodeling,bridge_candidate_to_vascular,Th17/IL-17,candidate state/mediator -> PH/remodeling
Amd1,38853755,PD-1/PD-L1 Provides Protective Role in Hypoxia-Induced Pulmonary Vascular Remodeling.,"Hypertension (Dallas, Tex. : 1979)",2024 Aug,Th17;T helper 17;IL-17;IL-17A;RORC;T cell differentiation;pulmonary hypertension;pulmonary arterial hypertension;pulmonary vascular remodeling;pulmonary vascular remodelling;pulmonary artery remodeling,bridge_candidate_to_vascular,Th17/IL-17,candidate state/mediator -> PH/remodeling
Amd1,33996408,Biological drug and drug delivery-mediated immunotherapy.,Acta pharmaceutica Sinica. B,2021 Apr,Th17;T helper 17;IL-17;IL-17A;RORC;T cell differentiation;pulmonary hypertension;pulmonary arterial hypertension;pulmonary vascular remodeling;pulmonary vascular remodelling;pulmonary artery remodeling,bridge_candidate_to_vascular,Th17/IL-17,candidate state/mediator -> PH/remodeling
Amd1,39571033,Platelet factor 4-induced T(H)1-T(reg) polarization suppresses antitumor immunity.,"Science (New York, N.Y.)",2024 Nov 22,megakaryocyte;megakaryocytes;megakaryocyte-derived;platelet-derived;platelet microparticle;platelet extracellular vesicle;megakaryocyte extracellular vesicle;platelet factor 4;Treg;regulatory T cell;FOXP3;IL-10;TGF-beta,bridge_mk_to_candidate_state,Treg/FOXP3,MK/platelet/MK-EV -> candidate state
Amd1,40373279,Defective neutrophil clearance in JAK2V617F myeloproliferative neoplasms drives myelofibrosis via immune checkpoint CD24.,Blood,2025 Aug 7,megakaryocyte;megakaryocytes;megakaryocyte-derived;platelet-derived;platelet microparticle;platelet extracellular vesicle;megakaryocyte extracellular vesicle;platelet factor 4;Treg;regulatory T cell;FOXP3;IL-10;TGF-beta,bridge_mk_to_candidate_state,Treg/FOXP3,MK/platelet/MK-EV -> candidate state
